time	TC4_1	TC4_2	TC4_3	TC4_4
(sec)	(degC)	(degC)	(degC)	(degC)

923.32032	41	26	24	27
923.40224	41	26	24	27
923.48416	41	26	24	27
923.56608	41	26	24	27
923.64800	41	26	24	27
923.72992	41	26	24	27
923.81184	41	26	24	27
923.89376	41	26	24	27
923.97568	41	26	24	27
924.05760	41	26	24	27
924.13952	41	26	24	27
924.22144	41	26	24	27
924.30336	41	26	24	27
924.38528	41	26	24	27
924.46720	41	26	24	27
924.54912	41	26	24	27
924.63104	41	26	24	27
924.71296	41	26	24	27
924.79488	41	26	24	27
924.87680	41	26	24	27
924.95872	41	26	24	27
925.04064	41	26	24	27
925.12256	41	26	24	27
925.20448	41	26	24	27
925.28640	41	26	24	27
925.36832	41	26	24	27
925.45024	41	26	24	27
925.53216	41	26	24	27
925.61408	41	26	24	27
925.69600	41	26	24	27
925.77792	41	26	24	27
925.85984	41	26	24	27
925.94176	41	26	24	27
926.02368	41	26	24	27
926.10560	41	26	24	27
926.18752	41	26	24	27
926.26944	41	26	24	27
926.35136	41	26	24	27
926.43328	41	26	24	27
926.51520	41	26	24	27
926.59712	41	26	24	27
926.67904	41	26	24	27
926.76096	41	26	24	27
926.84288	41	26	24	27
926.92480	41	26	24	27
927.00672	41	26	24	27
927.08864	41	26	24	27
927.17056	41	26	24	27
927.25248	41	26	24	27
927.33440	41	26	24	27
927.41632	41	26	24	27
927.49824	41	26	24	27
927.58016	41	26	24	27
927.66208	41	26	24	27
927.74400	41	26	24	27
927.82592	41	26	24	27
927.90784	41	26	24	27
927.98976	41	26	24	27
928.07168	41	26	24	27
928.15360	41	26	24	27
928.23552	41	26	24	27
928.31744	41	26	24	27
928.39936	41	26	24	27
928.48128	41	26	24	27
928.56320	41	26	24	27
928.64512	41	26	24	27
928.72704	41	26	24	27
928.80896	41	26	24	27
928.89088	41	26	24	27
928.97280	41	26	24	27
929.05472	41	26	24	27
929.13664	41	26	24	27
929.21856	41	26	24	27
929.30048	41	26	24	27
929.38240	41	26	24	27
929.46432	41	26	24	27
929.54624	41	26	24	27
929.62816	41	26	24	27
929.71008	41	26	24	27
929.79200	41	26	24	27
929.87392	41	26	24	27
929.95584	41	26	24	27
930.03776	41	26	24	27
930.11968	41	26	24	27
930.20160	41	26	24	27
930.28352	41	26	24	27
930.36544	41	26	24	27
930.44736	41	26	24	27
930.52928	41	26	24	27
930.61120	41	26	24	27
930.69312	41	26	24	27
930.77504	41	26	24	27
930.85696	41	26	24	27
930.93888	41	26	24	27
931.02080	41	26	24	27
931.10272	41	26	24	27
931.18464	41	26	24	27
931.26656	41	26	24	27
931.34848	41	26	24	27
931.43040	41	26	24	27
931.51232	41	26	24	27
931.59424	41	26	24	27
931.67616	41	26	24	27
931.75808	41	26	24	27
931.84000	41	26	24	27
931.92192	41	26	24	27
932.00384	41	26	24	27
932.08576	41	26	24	27
932.16768	41	26	24	27
932.24960	41	26	24	27
932.33152	41	26	24	27
932.41344	41	26	24	27
932.49536	41	26	24	27
932.57728	41	26	24	27
932.65920	41	26	24	27
932.74112	41	26	24	27
932.82304	41	26	24	27
932.90496	41	26	24	27
932.98688	41	26	24	27
933.06880	41	26	24	27
933.15072	41	26	24	27
933.23264	41	26	24	27
933.31456	41	26	24	27
933.39648	41	26	24	27
933.47840	41	26	24	27
933.56032	41	26	24	27
933.64224	41	26	24	27
933.72416	41	26	24	27
933.80608	41	26	24	27
933.88800	41	26	24	27
933.96992	41	26	24	27
934.05184	41	26	24	27
934.13376	41	26	24	27
934.21568	41	26	24	27
934.29760	41	26	24	27
934.37952	41	26	24	27
934.46144	41	26	24	27
934.54336	41	26	24	27
934.62528	41	26	24	27
934.70720	41	26	24	27
934.78912	41	26	24	27
934.87104	41	26	24	27
934.95296	41	26	24	27
935.03488	41	26	24	27
935.11680	41	26	24	27
935.19872	41	26	24	27
935.28064	41	26	24	27
935.36256	41	26	24	27
935.44448	41	26	24	27
935.52640	41	26	24	27
935.60832	41	26	24	27
935.69024	41	26	24	27
935.77216	41	26	24	27
935.85408	41	26	24	27
935.93600	41	26	24	27
936.01792	41	26	24	27
936.09984	41	26	24	27
936.18176	41	26	24	27
936.26368	41	26	24	27
936.34560	41	26	24	27
936.42752	41	26	24	27
936.50944	41	26	24	27
936.59136	41	26	24	27
936.67328	41	26	24	27
936.75520	41	26	24	27
936.83712	41	26	24	27
936.91904	41	26	24	27
937.00096	41	26	24	27
937.08288	41	26	24	27
937.16480	41	26	24	27
937.24672	41	26	24	27
937.32864	41	26	24	27
937.41056	41	26	24	27
937.49248	41	26	24	27
937.57440	41	26	24	27
937.65632	41	26	24	27
937.73824	41	26	24	27
937.82016	41	26	24	27
937.90208	41	26	24	27
937.98400	41	26	24	27
938.06592	41	26	24	27
938.14784	41	26	24	27
938.22976	41	26	24	27
938.31168	41	26	24	27
938.39360	41	26	24	27
938.47552	41	26	24	27
938.55744	41	26	24	27
938.63936	41	26	24	27
938.72128	41	26	24	27
938.80320	41	26	24	27
938.88512	41	26	24	27
938.96704	40	26	24	27
939.04896	40	26	24	27
939.13088	40	26	24	27
939.21280	40	26	24	27
939.29472	40	26	24	27
939.37664	40	26	24	27
939.45856	40	26	24	27
939.54048	40	26	24	27
939.62240	40	26	24	27
939.70432	40	26	24	27
939.78624	40	26	24	27
939.86816	40	26	24	27
939.95008	40	26	24	27
940.03200	40	26	24	27
940.11392	40	26	24	27
940.19584	40	26	24	27
940.27776	40	26	24	27
940.35968	40	26	24	27
940.44160	40	26	24	27
940.52352	40	26	24	27
940.60544	40	26	24	27
940.68736	40	26	24	27
940.76928	40	26	24	27
940.85120	40	26	24	27
940.93312	40	26	24	27
941.01504	40	26	24	27
941.09696	40	26	24	27
941.17888	40	26	24	27
941.26080	40	26	24	27
941.34272	40	26	24	27
941.42464	40	26	24	27
941.50656	40	26	24	27
941.58848	40	26	24	27
941.67040	40	26	24	27
941.75232	40	26	24	27
941.83424	40	26	24	27
941.91616	40	26	24	27
941.99808	40	26	24	27
942.08000	40	26	24	27
942.16192	40	26	24	27
942.24384	40	26	24	27
942.32576	40	26	24	27
942.40768	40	26	24	27
942.48960	40	26	24	27
942.57152	40	26	24	27
942.65344	40	26	24	27
942.73536	40	26	24	27
942.81728	40	26	24	27
942.89920	40	26	24	27
942.98112	40	26	24	27
943.06304	40	26	24	27
943.14496	40	26	24	27
943.22688	40	26	24	27
943.30880	40	26	24	27
943.39072	40	26	24	27
943.47264	40	26	24	27
943.55456	40	26	24	27
943.63648	40	26	24	27
943.71840	40	26	24	27
943.80032	40	26	24	27
943.88224	40	26	24	27
943.96416	40	26	24	27
944.04608	40	26	24	27
944.12800	40	26	24	27
944.20992	40	26	24	27
944.29184	40	26	24	27
944.37376	40	26	24	27
944.45568	40	26	24	27
944.53760	40	26	24	27
944.61952	40	26	24	27
944.70144	40	26	24	27
944.78336	40	26	24	27
944.86528	40	26	24	27
944.94720	40	26	24	27
945.02912	40	26	24	27
945.11104	40	26	24	27
945.19296	40	26	24	27
945.27488	40	26	24	27
945.35680	40	26	24	27
945.43872	40	26	24	27
945.52064	40	26	24	27
945.60256	40	26	24	27
945.68448	40	26	24	27
945.76640	40	26	24	27
945.84832	40	26	24	27
945.93024	40	26	24	27
946.01216	40	26	24	27
946.09408	40	26	24	27
946.17600	40	26	24	27
946.25792	40	26	24	27
946.33984	40	26	24	27
946.42176	40	26	24	27
946.50368	40	26	24	27
946.58560	40	26	24	27
946.66752	40	26	24	27
946.74944	40	26	24	27
946.83136	40	26	24	27
946.91328	40	26	24	27
946.99520	40	26	24	27
947.07712	40	26	24	27
947.15904	40	26	24	27
947.24096	40	26	24	27
947.32288	40	26	24	27
947.40480	40	26	24	27
947.48672	40	26	24	27
947.56864	40	26	24	27
947.65056	40	26	24	27
947.73248	40	26	24	27
947.81440	40	26	24	27
947.89632	40	26	24	27
947.97824	40	26	24	27
948.06016	40	26	24	27
948.14208	40	26	24	27
948.22400	40	26	24	27
948.30592	40	26	24	27
948.38784	40	26	24	27
948.46976	40	26	24	27
948.55168	40	26	24	27
948.63360	40	26	24	27
948.71552	40	26	24	27
948.79744	40	26	24	27
948.87936	40	26	24	27
948.96128	40	26	24	27
949.04320	40	26	24	27
949.12512	40	26	24	27
949.20704	40	26	24	27
949.28896	40	26	24	27
949.37088	40	26	24	27
949.45280	40	26	24	27
949.53472	40	26	24	27
949.61664	40	26	24	27
949.69856	40	26	24	27
949.78048	40	26	24	27
949.86240	40	26	24	27
949.94432	40	26	24	27
950.02624	40	26	24	27
950.10816	40	26	24	27
950.19008	40	26	24	27
950.27200	40	26	24	27
950.35392	40	26	24	27
950.43584	40	26	24	27
950.51776	40	26	24	27
950.59968	40	26	24	27
950.68160	40	26	24	27
950.76352	40	26	24	27
950.84544	40	26	24	27
950.92736	40	26	24	27
951.00928	40	26	24	27
951.09120	40	26	24	27
951.17312	40	26	24	27
951.25504	40	26	24	27
951.33696	40	26	24	27
951.41888	40	26	24	27
951.50080	40	26	24	27
951.58272	40	26	24	27
951.66464	40	26	24	27
951.74656	40	26	24	27
951.82848	40	26	24	27
951.91040	40	26	24	27
951.99232	40	26	24	27
952.07424	40	26	24	27
952.15616	40	26	24	27
952.23808	40	26	24	27
952.32000	40	26	24	27
952.40192	40	26	24	27
952.48384	40	26	24	27
952.56576	40	26	24	27
952.64768	40	26	24	27
952.72960	40	26	24	27
952.81152	40	26	24	27
952.89344	40	26	24	27
952.97536	40	26	24	27
953.05728	40	26	24	27
953.13920	40	26	24	27
953.22112	40	26	24	27
953.30304	40	26	24	27
953.38496	40	26	24	27
953.46688	40	26	24	27
953.54880	40	26	24	27
953.63072	40	26	24	27
953.71264	40	26	24	27
953.79456	40	26	24	27
953.87648	40	26	24	27
953.95840	40	26	24	27
954.04032	40	26	24	27
954.12224	40	26	24	27
954.20416	40	26	24	27
954.28608	40	26	24	27
954.36800	40	26	24	27
954.44992	40	26	24	27
954.53184	40	26	24	27
954.61376	41	26	24	27
954.69568	41	26	24	27
954.77760	42	26	24	27
954.85952	43	26	24	27
954.94144	44	26	24	27
955.02336	45	26	24	27
955.10528	46	26	24	27
955.18720	47	26	24	27
955.26912	48	26	24	27
955.35104	49	26	24	27
955.43296	50	26	24	27
955.51488	51	26	24	27
955.59680	52	26	24	27
955.67872	53	26	24	27
955.76064	54	26	24	27
955.84256	56	26	24	27
955.92448	57	26	24	27
956.00640	58	26	24	27
956.08832	59	26	24	27
956.17024	59	26	24	27
956.25216	60	26	24	27
956.33408	61	26	24	27
956.41600	62	26	24	27
956.49792	62	26	24	27
956.57984	62	26	24	27
956.66176	62	26	24	27
956.74368	63	26	24	27
956.82560	63	26	24	27
956.90752	64	26	24	27
956.98944	64	26	24	27
